1.#INF00;1.#INF00;9.944306e-001;0.002000
1.#INF00;1.#INF00;9.801764e-001;0.003000
1.#INF00;1.#INF00;9.623062e-001;0.002000
1.#INF00;1.#INF00;9.429722e-001;0.001000
0.655967;0.300652;9.229269e-001;0.001000
1.#INF00;1.#INF00;9.026734e-001;0.002000
1.#INF00;1.#INF00;8.824172e-001;0.002000
1.042543;0.477832;8.623081e-001;0.002000
0.914259;0.419035;8.424243e-001;0.002000
1.#INF00;1.#INF00;8.228187e-001;0.002000
1.484754;0.680512;8.035269e-001;0.002000
1.624766;0.744685;7.845712e-001;0.002000
1.694132;0.776477;7.659668e-001;0.003000
1.#INF00;1.#INF00;7.477240e-001;0.003000
0.819121;0.375430;7.298479e-001;0.005000
1.833576;0.840389;7.123416e-001;0.002000
1.103385;0.505718;6.952053e-001;0.007000
1.204178;0.551915;6.784395e-001;0.005000
1.111289;0.509341;6.620420e-001;0.005000
1.787910;0.819459;6.460094e-001;0.003000
2.846745;1.304758;6.303379e-001;0.003000
2.931768;1.343727;6.150230e-001;0.002000
1.550948;0.710851;6.000598e-001;0.003000
1.358004;0.622418;5.854428e-001;0.003000
1.622624;0.743703;5.711663e-001;0.003000
2.483888;1.138449;5.572246e-001;0.002000
1.218672;0.558558;5.436115e-001;0.005000
1.719760;0.788223;5.303209e-001;0.004000
3.903185;1.788960;5.173466e-001;0.003000
1.846807;0.846453;5.046821e-001;0.004000
4.197313;1.923768;4.923214e-001;0.002000
1.293780;0.592983;4.802579e-001;0.004000
4.333401;1.986142;4.684855e-001;0.003000
3.053911;1.399709;4.569978e-001;0.003000
2.227753;1.021053;4.457888e-001;0.003000
2.051562;0.940299;4.348522e-001;0.006000
2.311402;1.059393;4.241819e-001;0.003000
4.402861;2.017978;4.137721e-001;0.003000
2.398502;1.099314;4.036167e-001;0.002000
3.595118;1.647762;3.937100e-001;0.003000
2.663547;1.220792;3.840462e-001;0.003000
2.826780;1.295608;3.746196e-001;0.003000
2.271898;1.041287;3.654249e-001;0.004000
2.977314;1.364602;3.564564e-001;0.004000
2.468552;1.131420;3.477089e-001;0.003000
2.032670;0.931640;3.391772e-001;0.006000
3.142756;1.440430;3.308690e-001;0.004000
